
> k36-tg-listener@1.0.0 chats
> node list-chats.js

[33m[2026-09-20T15:26:15.746] [INFO] - [Running gramJS version 2.26.21][0m
[33m[2026-09-20T15:26:15.750] [INFO] - [Connecting to 91.108.56.168:80/TCPFull...][0m
[33m[2026-09-20T15:26:15.752] [INFO] - [Connection to 91.108.56.168:80/TCPFull complete!][0m
[33m[2026-09-20T15:26:15.753] [INFO] - [Using LAYER 198 for initial connect][0m

id                   ชนิด      ชื่อกลุ่ม
----------------------------------------------------------------------
-1003671113977        channel   OL ชั่วคราว
-1002059357394        channel   กลุ่มเช็คอิน Jun88打卡群
-1004437615794        channel   Jun88-แอดมิน客服
-1004379656758        channel   Jun88-ประสานงานAM-OD
-1004382535007        channel   Jun88-OD-ออดิท风控
-1002585034182        channel   MK8 ประสานงาน 协调
-1003055481352        channel   F168-ประสานงาน-协调
-1004294376065        channel   JL69-88OK 3.2%,0.0%,TM 4.0%
-1003311292421        channel   เช็คธนาคาร KBIZ
-1003502981935        channel   กลุ่มเช็คอิน Jun88-ONLINE打卡群
-1003812409354        channel   🇹🇭4149-88OK-goldenpay2.3+0.5
-1004433053696        channel   Jun88-เก็งกำไร+ถอนยอดใหญ่
-1003800255623        channel   F168-88OK 3.2%,0.0%,TM 4.0%
-1004385257884        channel   🇹🇭 4252-KP88OK-Kpluspay2.3+0.5
-1004396891112        channel   Jun88-88OK 3.2%,0.0%,TM 4.0%
-1004385913968        channel   MK8-88OK 3.2%,0.0%,TM 4.0%
-1003075976514        channel   F168-เติมโบนัส-送彩金
-1003123799649        channel   PG688 แก้ไขข้อมูลลูกค้า 修改银行
-1003845988614        channel   Jun88-ปรับยอดเข้าบริษัท
-1002065672387        channel   🔹T88-Jun88-客服群(L)（T88 - Jun88th）
-1002343163993        channel   Jun88 ประสานงาน FT - AM - OD协调
-1002831947681        channel   IT-WEB
-1003877726421        channel   Jun88 + THPP：3.2% + 0.0%
-1004467189021        channel   PG688-88OK 3.2%,0.0%,TM 4.0%
-1004370670501        channel   Jun88-คืนเครดิต-OD-AM-FT
-1002890985966        channel   PGSG-88OK กลุ่มประสานงาน 对接群
-1004263570341        channel   Jun88-ต่อกะฝาก-ถอน/ 出入款交接班群
-1003849505911        channel   MK8 + THPP：3.2% + 0.0%
-1004415254367        channel   THPP & PGSG 处理问题群
-1002625926053        channel   2169 WG支付对接群
-1004472288891        channel   K188-88OK 3.2%,0.0%,TM 4.0%
-1003048600219        channel   【WL】jl69thbf7_JL69 客服群（0fe）
-1003879272216        channel   🇹🇭 |BT678 - THPP（收3.2 付&下发0.0）
-1003974599264        channel   JL69 + THPP：3.2% + 0.0%
-1004481383858        channel   PG688 + THPP：3.2% + 0.0%
-1004325364410        channel   NM9 + THPP：3.2% + 0.0%
-1003772455318        channel   F168 + THPP：3.2% + 0.0%
-1004342645201        channel   TH26 + THPP：3.2% + 0.0%
-1004342140192        channel   K188 + THPP：3.2% + 0.0%
-1004411369542        channel   VV72 + THPP：3.2% + 0.0%
-1004364873125        channel   กลุ่มแจ้งใบปรับพนักงานออนไลน์ 在线罚单通知群
-1003487314099        channel   OA-AMOL
-1003386618433        channel   AM OD FT 88OK ONLINE เข้างาน
-1003885968329        channel   Jun88-สลิปการโอน+ถอนยอดใหญ่ 转账图
-1002764280877        channel   MK8 แก้ไขข้อมูลลูกค้า 修改银行
-1003242979943        channel   กลุ่ม แจ้งปัญหา IT-AMOL
-1003074251990        channel   PG688 ประสานงาน 协调
-1003751115705        channel   🔹TF5-K188-客服群（CO）（TF5-tf5prod)
-1002415773055        channel   🇹🇭 |Jun88-RCPay-202403091552041735(0.8%+0)
-1003803919277        channel   TH26-แก้ไขข้อมูลลูกค้า 修改银行
-1003918189283        channel   Vv72-88OK 3.2%,0.0%,TM 4.0%
-1003745764148        channel   Jun88 แก้ไขข้อมูลลูกค้า
-1003351121537        channel   RCPAY-JL69-202511212148071241
-1004306417275        channel   Jun88-กลุ่มถอนเงินบุคคลที่สาม 第三方提现群
-1003577090545        channel   NM9 ประสานงาน 协调
-5515391280           group     พี่เลี้ยง+หัวหน้า คุยงาน
-1003856089734        channel   Vv72 ประสานงาน 协调
-1004459369619        channel   พนักงานออนไลน์ที่พฤติกรรมเริ่มมีปัญหา
-1003324666831        channel   Jun88/AMOL เช็คชื่อ
-1003219857385        channel   Jun88-ITพัฒนาระบบ–โปรโมชั่น
-1003696486460        channel   NM9 แก้ไขข้อมูลลูกค้า 修改银行
-1003272895248        channel   JL69 ประสานงาน 协调
-1003846445865        channel   BT678-แก้ไขข้อมูลลูกค้า 修改银行
-1003815726803        channel   TH26-ประสานงาน 协调
-1002118182161        channel   กลุ่มแจ้งใบปรับ 罚单通知群
-1003540179774        channel   กลุ่มแจ้งใบปรับพนักงานทำงานที่บ้าน居家办公员工罚单通知群
-1002841899919        channel   F168-แก้ไขข้อมูลลูกค้า-修改银行
-1003850266553        channel   K188-แก้ไขข้อมูลลูกค้า 修改银行
-1003614084797        channel   RCPAY-NM9-202601132017081433
-1002836619776        channel   🇹🇭 |MK8-RCPAY-202506250024231014 (0.8%）
-1003889093967        channel   🇹🇭｜RCPAY-K36泰国-TH26-202602061632471782
-1003764147556        channel   🇹🇭｜RCPAY-K36泰国-VV72-202602061630361970
-1002939829090        channel   RCPAY-PG688-202511051351441010
-1002956961519        channel   RCPAY- F168 202509152349021991
-1003898477379        channel   RCPAY-202602240117191196-K188
-1003842253162        channel   BT678 -ประสานงาน 协调
-1003868261753        channel   Jun88-เติมโบนัส / 送彩金
-1003266481072        channel   JL69 แก้ไขข้อมูลลูกค้า 修改银行
-1002527421390        channel   กลุ่มOD ประสานงานข้ามเว็บ - OD 跨网站交流群
-1004297753520        channel   Jun88-สมาชิกทั้งหมดรวมออนไลน์ 全体成员
-1003725650249        channel   Vv72 แก้ไขข้อมูลลูกค้า 修改银行
-1004395652974        channel   Jun88-กลุ่มสื่อสารหัวหน้า-组长交流群
-1004360835098        channel   Jun88-ประสานงานFT-OD
-1002107891463        channel   กลุ่มประสานงานข้ามแผนก PGSG 跨部门协调群
-1003100662566        channel   【WL】pg688thbf3_PG688 技术客服群（1ao）
-1003912185213        channel   New 【2169】f168.com 技术支持群
-1002754971838        channel   🔹TE1-MK8-客服群(TE1-te1prod)
-1003719229892        channel   BT678-88OK 3.2%,0.0%,TM 4.0%
-1003668533224        channel   NM9 เติมโบนัส / 送彩金
-1003800036345        channel   TH26-เติมโบนัส / 送彩金
-1002761685282        channel   【WL】nm9thbf7_NM9 技术客服群(0ey)
-1003448945680        channel   JL69 เติมโบนัส / 送彩金
-1003198190795        channel   PG688 เติมโบนัส / 送彩金
-1003857619902        channel   K188-เติมโบนัส / 送彩金
-1003784661635        channel   Vv72 เติมโบนัส / 送彩金
-1003544756805        channel   BT678-เติมโบนัส / 送彩金
-1002858086210        channel   MK8 เติมโบนัส / 送彩金
-1004379555545        channel   Jun88+BG กลุ่มข้อมูลบัตรธนาคาร 银行卡资料群
-1002856932376        channel   🔹TE5-Vv72-客服群(L)（TE5-te5prod)
-1002743365839        channel   🔹TE2-TH26-客服群(L)（TE2-te2prod）
-5524079308           group     ทดลอง2
-1003789373442        channel   🔹TF6-BT678-客服群（CO）(TF6-tf6prod)
-1002671644685        channel   Jun88/MK8/F168-ODลูกค้าเก็งกำไร 套利会员
-1002128774820        channel   Jun88/MK8/F168-OD-ออดิท风控
-1003488080168        channel   อบรมกลุ่มพนักงานบริการลูกค้าออนไลน์ 在线客服培训群
-1003676836261        channel   OLสัมภาษณ์ออนไลน์
-1004450294935        channel   ทดลอง
-5486348549           group     ทดลอง
-1002220606774        channel   🟢 นัดกินเลี้ยงเท่านั้น
